X0_0	Y0_0	X0_1	Y0_1	X0_2	Y0_2	X0_3	Y0_3	X0_4	Y0_4	X0_5	Y0_5
9.92500e+02	0.00000e+00	8.00000e+02	2.32105e-24	8.00000e+02	2.45414e-25	8.00000e+02	5.24715e-29	8.00000e+02	5.24715e-29	8.00000e+02	2.32105e-24
9.92500e+02	1.00000e+00	8.00350e+02	3.47865e-24	8.00350e+02	-3.59637e-26	8.00350e+02	8.07305e-29	8.00350e+02	8.07305e-29	8.00350e+02	3.47865e-24
		8.00700e+02	4.45869e-24	8.00700e+02	-9.78397e-26	8.00700e+02	1.06221e-28	8.00700e+02	1.06221e-28	8.00700e+02	4.45869e-24
		8.01050e+02	5.26988e-24	8.01050e+02	1.76570e-26	8.01050e+02	1.28876e-28	8.01050e+02	1.28876e-28	8.01050e+02	5.26988e-24
		8.01400e+02	5.92090e-24	8.01400e+02	1.10410e-25	8.01400e+02	1.48633e-28	8.01400e+02	1.48633e-28	8.01400e+02	5.92090e-24
		8.01750e+02	6.42046e-24	8.01750e+02	6.19428e-26	8.01750e+02	1.65440e-28	8.01750e+02	1.65440e-28	8.01750e+02	6.42046e-24
		8.02100e+02	6.77726e-24	8.02100e+02	-4.31662e-26	8.02100e+02	1.79253e-28	8.02100e+02	1.79253e-28	8.02100e+02	6.77726e-24
		8.02450e+02	7.00001e-24	8.02450e+02	-5.52485e-26	8.02450e+02	1.90037e-28	8.02450e+02	1.90037e-28	8.02450e+02	7.00001e-24
		8.02800e+02	7.09740e-24	8.02800e+02	3.68642e-26	8.02800e+02	1.97768e-28	8.02800e+02	1.97768e-28	8.02800e+02	7.09740e-24
		8.03150e+02	7.07813e-24	8.03150e+02	1.02446e-25	8.03150e+02	2.02434e-28	8.03150e+02	2.02434e-28	8.03150e+02	7.07813e-24
		8.03500e+02	6.95090e-24	8.03500e+02	5.48511e-26	8.03500e+02	2.04035e-28	8.03500e+02	2.04035e-28	8.03500e+02	6.95090e-24
		8.03850e+02	6.85566e-24	8.03850e+02	-3.29444e-26	8.03850e+02	2.06539e-28	8.03850e+02	2.06539e-28	8.03850e+02	6.85566e-24
		8.04200e+02	6.39735e-24	8.04200e+02	-3.55987e-26	8.04200e+02	1.97802e-28	8.04200e+02	1.97802e-28	8.04200e+02	6.39735e-24
		8.04550e+02	5.89589e-24	8.04550e+02	4.94619e-26	8.04550e+02	1.87089e-28	8.04550e+02	1.87089e-28	8.04550e+02	5.89589e-24
		8.04900e+02	5.37806e-24	8.04900e+02	1.01030e-25	8.04900e+02	1.75139e-28	8.04900e+02	1.75139e-28	8.04900e+02	5.37806e-24
		8.05250e+02	4.68220e-24	8.05250e+02	4.45141e-26	8.05250e+02	1.56479e-28	8.05250e+02	1.56479e-28	8.05250e+02	4.68220e-24
		8.05600e+02	3.64863e-24	8.05600e+02	-4.42592e-26	8.05600e+02	1.25134e-28	8.05600e+02	1.25134e-28	8.05600e+02	3.64863e-24
		8.05950e+02	2.61398e-24	8.05950e+02	-4.44861e-26	8.05950e+02	9.19978e-29	8.05950e+02	9.19978e-29	8.05950e+02	2.61398e-24
		8.06300e+02	2.02656e-24	8.06300e+02	4.23245e-26	8.06300e+02	7.31904e-29	8.06300e+02	7.31904e-29	8.06300e+02	2.02656e-24
		8.06650e+02	2.03416e-24	8.06650e+02	9.46410e-26	8.06650e+02	7.53857e-29	8.06650e+02	7.53857e-29	8.06650e+02	2.03416e-24
		8.07000e+02	1.57567e-24	8.07000e+02	3.88167e-26	8.07000e+02	5.99196e-29	8.07000e+02	5.99196e-29	8.07000e+02	1.57567e-24
