# wavelength in nm, signal in a.u.
8.0000e+02,4.3020e-06
8.0020e+02,4.2953e-06
8.0040e+02,4.2820e-06
8.0060e+02,4.2886e-06
8.0080e+02,4.3020e-06
8.0100e+02,4.2820e-06
8.0120e+02,4.2719e-06
8.0140e+02,4.2853e-06
8.0160e+02,4.2853e-06
8.0180e+02,4.2619e-06
8.0200e+02,4.2619e-06
8.0220e+02,4.2686e-06
8.0240e+02,4.2652e-06
8.0260e+02,4.2418e-06
8.0280e+02,4.2485e-06
8.0300e+02,4.2619e-06
8.0320e+02,4.2518e-06
8.0340e+02,4.2418e-06
8.0360e+02,4.2452e-06
8.0380e+02,4.2485e-06
8.0400e+02,4.2284e-06
8.0420e+02,4.2318e-06
8.0440e+02,4.2485e-06
8.0460e+02,4.2485e-06
8.0480e+02,4.2184e-06
8.0500e+02,4.2318e-06
8.0520e+02,4.2351e-06
8.0540e+02,4.2151e-06
8.0560e+02,4.2017e-06
8.0580e+02,4.2151e-06
8.0600e+02,4.2084e-06
8.0620e+02,4.1950e-06
8.0640e+02,4.1950e-06
8.0660e+02,4.2084e-06
8.0680e+02,4.1950e-06
8.0700e+02,4.1749e-06
8.0720e+02,4.1716e-06
8.0740e+02,4.1816e-06
8.0760e+02,4.1682e-06
8.0780e+02,4.1582e-06
8.0800e+02,4.1783e-06
8.0820e+02,4.1849e-06
8.0840e+02,4.1649e-06
8.0860e+02,4.1615e-06
8.0880e+02,4.1716e-06
8.0900e+02,4.1615e-06
8.0920e+02,4.1448e-06
8.0940e+02,4.1582e-06
8.0960e+02,4.1682e-06
8.0980e+02,4.1515e-06
8.1000e+02,4.1481e-06
8.1020e+02,4.1615e-06
8.1040e+02,4.1582e-06
8.1060e+02,4.1448e-06
8.1080e+02,4.1515e-06
8.1100e+02,4.1682e-06
8.1120e+02,4.1481e-06
8.1140e+02,4.1348e-06
8.1160e+02,4.1448e-06
8.1180e+02,4.1481e-06
8.1200e+02,4.1281e-06
8.1220e+02,4.1214e-06
8.1240e+02,4.1314e-06
8.1260e+02,4.1247e-06
8.1280e+02,4.1080e-06
8.1300e+02,4.1214e-06
8.1320e+02,4.1381e-06
8.1340e+02,4.1247e-06
8.1360e+02,4.1047e-06
8.1380e+02,4.1147e-06
8.1400e+02,4.1113e-06
8.1420e+02,4.0980e-06
8.1440e+02,4.0980e-06
8.1460e+02,4.1180e-06
8.1480e+02,4.1214e-06
8.1500e+02,4.1047e-06
8.1520e+02,4.1147e-06
8.1540e+02,4.1214e-06
8.1560e+02,4.1147e-06
8.1580e+02,4.1013e-06
8.1600e+02,4.1113e-06
8.1620e+02,4.1147e-06
8.1640e+02,4.1047e-06
8.1660e+02,4.1047e-06
8.1680e+02,4.1180e-06
8.1700e+02,4.1047e-06
8.1720e+02,4.0946e-06
8.1740e+02,4.1047e-06
8.1760e+02,4.1147e-06
8.1780e+02,4.0980e-06
8.1800e+02,4.0812e-06
8.1820e+02,4.0946e-06
8.1840e+02,4.0913e-06
8.1860e+02,4.0779e-06
8.1880e+02,4.0779e-06
8.1900e+02,4.0946e-06
8.1920e+02,4.0812e-06
8.1940e+02,4.0645e-06
8.1960e+02,4.0712e-06
8.1980e+02,4.0779e-06
8.2000e+02,4.0712e-06
8.2020e+02,4.0612e-06
8.2040e+02,4.0712e-06
8.2060e+02,4.0712e-06
8.2080e+02,4.0478e-06
8.2100e+02,4.0545e-06
8.2120e+02,4.0712e-06
8.2140e+02,4.0612e-06
8.2160e+02,4.0545e-06
8.2180e+02,4.0745e-06
8.2200e+02,4.0712e-06
