# wavelength in nm, signal in a.u.
8.0000e+02,3.9840e-09
8.0020e+02,6.6810e-10
8.0040e+02,0.0000e+00
8.0060e+02,0.0000e+00
8.0080e+02,9.8225e-22
8.0100e+02,8.6400e-10
8.0120e+02,1.9645e-22
8.0140e+02,1.7280e-10
8.0160e+02,3.4560e-10
8.0180e+02,3.9740e-09
8.0200e+02,2.1480e-09
8.0220e+02,1.2310e-10
8.0240e+02,4.5503e-21
8.0260e+02,1.6010e-09
8.0280e+02,8.6200e-10
8.0300e+02,0.0000e+00
8.0320e+02,0.0000e+00
8.0340e+02,0.0000e+00
8.0360e+02,6.5495e-21
8.0380e+02,1.6460e-09
8.0400e+02,0.0000e+00
8.0420e+02,0.0000e+00
8.0440e+02,0.0000e+00
8.0460e+02,1.0912e-20
8.0480e+02,2.1330e-09
8.0500e+02,2.8930e-09
8.0520e+02,5.8840e-10
8.0540e+02,0.0000e+00
8.0560e+02,9.9669e-21
8.0580e+02,1.5940e-09
8.0600e+02,3.0034e-21
8.0620e+02,4.4030e-10
8.0640e+02,4.8920e-10
8.0660e+02,2.2750e-09
8.0680e+02,2.4460e-10
8.0700e+02,6.9912e-21
8.0720e+02,8.7850e-10
8.0740e+02,1.3910e-09
8.0760e+02,1.6857e-20
8.0780e+02,1.9770e-09
8.0800e+02,4.3930e-10
8.0820e+02,1.9770e-09
8.0840e+02,1.0010e-09
8.0860e+02,9.4960e-10
8.0880e+02,9.4960e-10
8.0900e+02,1.3150e-09
8.0920e+02,2.4350e-10
8.0940e+02,1.3630e-09
8.0960e+02,0.0000e+00
8.0980e+02,1.8781e-20
8.1000e+02,1.6520e-09
8.1020e+02,9.6657e-21
8.1040e+02,8.5020e-10
8.1060e+02,0.0000e+00
8.1080e+02,1.7920e-20
8.1100e+02,1.4330e-09
8.1120e+02,9.9370e-10
8.1140e+02,1.2674e-21
8.1160e+02,9.6940e-11
8.1180e+02,8.2400e-10
8.1200e+02,0.0000e+00
8.1220e+02,9.9194e-21
8.1240e+02,7.2710e-10
8.1260e+02,1.6200e-09
8.1280e+02,0.0000e+00
8.1300e+02,0.0000e+00
8.1320e+02,4.6451e-21
8.1340e+02,3.1430e-10
8.1360e+02,0.0000e+00
8.1380e+02,3.8390e-22
8.1400e+02,2.4120e-11
8.1420e+02,1.2790e-09
8.1440e+02,0.0000e+00
8.1460e+02,2.7842e-20
8.1480e+02,1.6890e-09
8.1500e+02,9.8910e-10
8.1520e+02,4.1047e-22
8.1540e+02,2.4070e-11
8.1560e+02,2.0940e-09
8.1580e+02,1.1790e-09
8.1600e+02,2.4070e-11
8.1620e+02,1.2030e-09
8.1640e+02,2.7537e-20
8.1660e+02,1.4680e-09
8.1680e+02,4.0200e-09
8.1700e+02,8.3530e-21
8.1720e+02,4.3220e-10
8.1740e+02,1.1290e-09
8.1760e+02,1.1770e-09
8.1780e+02,1.8250e-09
8.1800e+02,1.2970e-09
8.1820e+02,1.3727e-20
8.1840e+02,6.7080e-10
8.1860e+02,1.9148e-20
8.1880e+02,9.1040e-10
8.1900e+02,0.0000e+00
8.1920e+02,1.7596e-20
8.1940e+02,8.1460e-10
8.1960e+02,3.8330e-10
8.1980e+02,2.5534e-20
8.2000e+02,1.1230e-09
8.2020e+02,2.4397e-20
8.2040e+02,1.0730e-09
8.2060e+02,0.0000e+00
8.2080e+02,8.0098e-20
8.2100e+02,3.3550e-09
8.2120e+02,4.5337e-20
8.2140e+02,1.8990e-09
8.2160e+02,1.8040e-09
8.2180e+02,1.0210e-09
8.2200e+02,4.1468e-20
8.2220e+02,1.6580e-09
8.2240e+02,0.0000e+00
8.2260e+02,0.0000e+00
8.2280e+02,4.8191e-20
8.2300e+02,1.8430e-09
8.2320e+02,7.7058e-20
8.2340e+02,2.9470e-09
8.2360e+02,3.2930e-10
8.2380e+02,1.8611e-20
8.2400e+02,6.8210e-10
8.2420e+02,6.5710e-10
8.2440e+02,1.8954e-20
8.2460e+02,6.8050e-10
8.2480e+02,1.3110e-09
