# wavelength in nm, signal in a.u.
8.0000e+02,4.2970e-06
8.0020e+02,4.2970e-06
8.0040e+02,4.2930e-06
8.0060e+02,4.2990e-06
8.0080e+02,4.2840e-06
8.0100e+02,4.2740e-06
8.0120e+02,4.2820e-06
8.0140e+02,4.2820e-06
8.0160e+02,4.2830e-06
8.0180e+02,4.2770e-06
8.0200e+02,4.2790e-06
8.0220e+02,4.2520e-06
8.0240e+02,4.2510e-06
8.0260e+02,4.2500e-06
8.0280e+02,4.2460e-06
8.0300e+02,4.2690e-06
8.0320e+02,4.2740e-06
8.0340e+02,4.2810e-06
8.0360e+02,4.2770e-06
8.0380e+02,4.2540e-06
8.0400e+02,4.2620e-06
8.0420e+02,4.2650e-06
8.0440e+02,4.2480e-06
8.0460e+02,4.2450e-06
8.0480e+02,4.2450e-06
8.0500e+02,4.2370e-06
8.0520e+02,4.2320e-06
8.0540e+02,4.2280e-06
8.0560e+02,4.2180e-06
8.0580e+02,4.2250e-06
8.0600e+02,4.1980e-06
8.0620e+02,4.2090e-06
8.0640e+02,4.2230e-06
8.0660e+02,4.2100e-06
8.0680e+02,4.2170e-06
8.0700e+02,4.2220e-06
8.0720e+02,4.1850e-06
8.0740e+02,4.1700e-06
8.0760e+02,4.1730e-06
8.0780e+02,4.1860e-06
8.0800e+02,4.2040e-06
8.0820e+02,4.1800e-06
8.0840e+02,4.1760e-06
8.0860e+02,4.1700e-06
8.0880e+02,4.1550e-06
8.0900e+02,4.1780e-06
8.0920e+02,4.1920e-06
8.0940e+02,4.1710e-06
8.0960e+02,4.1540e-06
8.0980e+02,4.1500e-06
8.1000e+02,4.2020e-06
8.1020e+02,4.1810e-06
8.1040e+02,4.1700e-06
8.1060e+02,4.1620e-06
8.1080e+02,4.1770e-06
8.1100e+02,4.1600e-06
8.1120e+02,4.1400e-06
8.1140e+02,4.1350e-06
8.1160e+02,4.1350e-06
8.1180e+02,4.1290e-06
8.1200e+02,4.1260e-06
8.1220e+02,4.1290e-06
8.1240e+02,4.1280e-06
8.1260e+02,4.1280e-06
8.1280e+02,4.1160e-06
8.1300e+02,4.1090e-06
8.1320e+02,4.1110e-06
8.1340e+02,4.1120e-06
8.1360e+02,4.1120e-06
8.1380e+02,4.1080e-06
8.1400e+02,4.1000e-06
8.1420e+02,4.1200e-06
8.1440e+02,4.1220e-06
8.1460e+02,4.1140e-06
8.1480e+02,4.1140e-06
8.1500e+02,4.1100e-06
8.1520e+02,4.1180e-06
8.1540e+02,4.1120e-06
8.1560e+02,4.1130e-06
8.1580e+02,4.1060e-06
8.1600e+02,4.1050e-06
8.1620e+02,4.0990e-06
8.1640e+02,4.1000e-06
8.1660e+02,4.1120e-06
8.1680e+02,4.1160e-06
8.1700e+02,4.1230e-06
8.1720e+02,4.1180e-06
8.1740e+02,4.1100e-06
8.1760e+02,4.0970e-06
8.1780e+02,4.0930e-06
8.1800e+02,4.0840e-06
8.1820e+02,4.0840e-06
8.1840e+02,4.0840e-06
8.1860e+02,4.0990e-06
8.1880e+02,4.0870e-06
8.1900e+02,4.0920e-06
8.1920e+02,4.0860e-06
8.1940e+02,4.0910e-06
8.1960e+02,4.0930e-06
8.1980e+02,4.0820e-06
8.2000e+02,4.0660e-06
8.2020e+02,4.0680e-06
8.2040e+02,4.0640e-06
8.2060e+02,4.0710e-06
8.2080e+02,4.0570e-06
8.2100e+02,4.0550e-06
8.2120e+02,4.0530e-06
8.2140e+02,4.0480e-06
8.2160e+02,4.0440e-06
8.2180e+02,4.0550e-06
8.2200e+02,4.0570e-06
8.2220e+02,4.0600e-06
8.2240e+02,4.0640e-06
8.2260e+02,4.0460e-06
8.2280e+02,4.0600e-06
8.2300e+02,4.0510e-06
8.2320e+02,4.0400e-06
8.2340e+02,4.0340e-06
8.2360e+02,4.0230e-06
8.2380e+02,4.0340e-06
8.2400e+02,4.0390e-06
8.2420e+02,4.0400e-06
8.2440e+02,4.0340e-06
8.2460e+02,4.0270e-06
8.2480e+02,4.0120e-06
8.2500e+02,4.0220e-06
8.2520e+02,4.0250e-06
8.2540e+02,4.0130e-06
8.2560e+02,4.0230e-06
8.2580e+02,4.0350e-06
8.2600e+02,4.0360e-06
8.2620e+02,4.0440e-06
8.2640e+02,4.0390e-06
8.2660e+02,4.0370e-06
8.2680e+02,4.0340e-06
8.2700e+02,4.0210e-06
8.2720e+02,4.0290e-06
8.2740e+02,4.0450e-06
8.2760e+02,4.0430e-06
8.2780e+02,4.0420e-06
8.2800e+02,4.0330e-06
8.2820e+02,4.0260e-06
8.2840e+02,4.0320e-06
8.2860e+02,4.0190e-06
8.2880e+02,4.0110e-06
8.2900e+02,4.0100e-06
8.2920e+02,4.0030e-06
8.2940e+02,4.0130e-06
8.2960e+02,4.0180e-06
8.2980e+02,4.0150e-06
8.3000e+02,4.0060e-06
8.3020e+02,4.0130e-06
8.3040e+02,4.0120e-06
8.3060e+02,4.0040e-06
8.3080e+02,4.0080e-06
8.3100e+02,4.0170e-06
8.3120e+02,4.0280e-06
8.3140e+02,4.0250e-06
8.3160e+02,4.0220e-06
8.3180e+02,4.0140e-06
8.3200e+02,4.0130e-06
8.3220e+02,4.0080e-06
8.3240e+02,4.0090e-06
8.3260e+02,4.0040e-06
8.3280e+02,4.0060e-06
8.3300e+02,3.9980e-06
8.3320e+02,3.9980e-06
8.3340e+02,4.0070e-06
8.3360e+02,4.0240e-06
8.3380e+02,4.0320e-06
8.3400e+02,4.0120e-06
8.3420e+02,4.0030e-06
8.3440e+02,4.0080e-06
8.3460e+02,4.0190e-06
8.3480e+02,4.0290e-06
8.3500e+02,4.0430e-06
8.3520e+02,4.0780e-06
8.3540e+02,4.0770e-06
8.3560e+02,4.0780e-06
8.3580e+02,4.0730e-06
8.3600e+02,4.0790e-06
8.3620e+02,4.0990e-06
8.3640e+02,4.1120e-06
8.3660e+02,4.1210e-06
8.3680e+02,4.1180e-06
8.3700e+02,4.1260e-06
8.3720e+02,4.1270e-06
8.3740e+02,4.1340e-06
8.3760e+02,4.1220e-06
8.3780e+02,4.1140e-06
8.3800e+02,4.1010e-06
8.3820e+02,4.0930e-06
8.3840e+02,4.0820e-06
8.3860e+02,4.0800e-06
8.3880e+02,4.0560e-06
8.3900e+02,4.0390e-06
8.3920e+02,4.0350e-06
8.3940e+02,4.0420e-06
8.3960e+02,4.0370e-06
8.3980e+02,4.0220e-06
8.4000e+02,4.0180e-06
8.4020e+02,4.0100e-06
8.4040e+02,4.0050e-06
8.4060e+02,4.0000e-06
8.4080e+02,4.0050e-06
8.4100e+02,4.0080e-06
8.4120e+02,4.0070e-06
8.4140e+02,4.0100e-06
8.4160e+02,4.0030e-06
8.4180e+02,3.9970e-06
8.4200e+02,3.9970e-06
8.4220e+02,3.9970e-06
8.4240e+02,4.0010e-06
8.4260e+02,4.0070e-06
8.4280e+02,4.0120e-06
8.4300e+02,4.0140e-06
8.4320e+02,4.0250e-06
8.4340e+02,4.0220e-06
8.4360e+02,4.0170e-06
8.4380e+02,4.0200e-06
8.4400e+02,4.0300e-06
8.4420e+02,4.0380e-06
8.4440e+02,4.0370e-06
8.4460e+02,4.0300e-06
8.4480e+02,4.0380e-06
8.4500e+02,4.0280e-06
8.4520e+02,4.0220e-06
8.4540e+02,4.0200e-06
8.4560e+02,4.0160e-06
8.4580e+02,4.0150e-06
8.4600e+02,4.0150e-06
8.4620e+02,4.0120e-06
8.4640e+02,4.0140e-06
8.4660e+02,4.0030e-06
8.4680e+02,3.9920e-06
8.4700e+02,3.9920e-06
8.4720e+02,4.0000e-06
8.4740e+02,4.0070e-06
8.4760e+02,4.0130e-06
8.4780e+02,4.0160e-06
8.4800e+02,4.0160e-06
8.4820e+02,4.0330e-06
8.4840e+02,4.0330e-06
8.4860e+02,4.0210e-06
8.4880e+02,4.0110e-06
8.4900e+02,4.0050e-06
8.4920e+02,4.0050e-06
8.4940e+02,4.0050e-06
8.4960e+02,4.0120e-06
8.4980e+02,4.0230e-06
8.5000e+02,4.0290e-06
8.5020e+02,4.0310e-06
8.5040e+02,4.0410e-06
8.5060e+02,4.0330e-06
8.5080e+02,4.0190e-06
8.5100e+02,4.0230e-06
8.5120e+02,4.0160e-06
8.5140e+02,4.0210e-06
8.5160e+02,4.0290e-06
8.5180e+02,4.0230e-06
8.5200e+02,4.0260e-06
8.5220e+02,4.0440e-06
8.5240e+02,4.0540e-06
8.5260e+02,4.0570e-06
8.5280e+02,4.0610e-06
8.5300e+02,4.0620e-06
8.5320e+02,4.0690e-06
8.5340e+02,4.0860e-06
8.5360e+02,4.0920e-06
8.5380e+02,4.0900e-06
8.5400e+02,4.0930e-06
8.5420e+02,4.0880e-06
8.5440e+02,4.0960e-06
8.5460e+02,4.0820e-06
8.5480e+02,4.0770e-06
8.5500e+02,4.0640e-06
8.5520e+02,4.0570e-06
8.5540e+02,4.0460e-06
8.5560e+02,4.0480e-06
8.5580e+02,4.0510e-06
8.5600e+02,4.0580e-06
8.5620e+02,4.0760e-06
8.5640e+02,4.0730e-06
8.5660e+02,4.0660e-06
8.5680e+02,4.0750e-06
8.5700e+02,4.0690e-06
8.5720e+02,4.0710e-06
8.5740e+02,4.0800e-06
8.5760e+02,4.0870e-06
8.5780e+02,4.0790e-06
8.5800e+02,4.0920e-06
8.5820e+02,4.0820e-06
8.5840e+02,4.0870e-06
8.5860e+02,4.1070e-06
8.5880e+02,4.1080e-06
8.5900e+02,4.1120e-06
8.5920e+02,4.1230e-06
8.5940e+02,4.1310e-06
8.5960e+02,4.1340e-06
8.5980e+02,4.1400e-06
8.6000e+02,4.1480e-06
8.6020e+02,4.1490e-06
8.6040e+02,4.1530e-06
8.6060e+02,4.1480e-06
8.6080e+02,4.1450e-06
8.6100e+02,4.1480e-06
8.6120e+02,4.1300e-06
8.6140e+02,4.1280e-06
8.6160e+02,4.1260e-06
8.6180e+02,4.1510e-06
8.6200e+02,4.1110e-06
8.6220e+02,4.1060e-06
8.6240e+02,4.1170e-06
8.6260e+02,4.1240e-06
8.6280e+02,4.1290e-06
8.6300e+02,4.1250e-06
8.6320e+02,4.1030e-06
8.6340e+02,4.1110e-06
8.6360e+02,4.1100e-06
8.6380e+02,4.1110e-06
8.6400e+02,4.1230e-06
8.6420e+02,4.1250e-06
8.6440e+02,4.1370e-06
8.6460e+02,4.1600e-06
8.6480e+02,4.1610e-06
8.6500e+02,4.1700e-06
8.6520e+02,4.1710e-06
8.6540e+02,4.1590e-06
8.6560e+02,4.1560e-06
8.6580e+02,4.1460e-06
8.6600e+02,4.1600e-06
8.6620e+02,4.1470e-06
8.6640e+02,4.1670e-06
8.6660e+02,4.1770e-06
8.6680e+02,4.1720e-06
8.6700e+02,4.1710e-06
8.6720e+02,4.1710e-06
8.6740e+02,4.1700e-06
8.6760e+02,4.1760e-06
8.6780e+02,4.1810e-06
8.6800e+02,4.1550e-06
8.6820e+02,4.1710e-06
8.6840e+02,4.1690e-06
8.6860e+02,4.1650e-06
8.6880e+02,4.1660e-06
8.6900e+02,4.1630e-06
8.6920e+02,4.1700e-06
8.6940e+02,4.1820e-06
8.6960e+02,4.1680e-06
8.6980e+02,4.1910e-06
8.7000e+02,4.2090e-06
8.7020e+02,4.2010e-06
8.7040e+02,4.2100e-06
8.7060e+02,4.2030e-06
8.7080e+02,4.2070e-06
8.7100e+02,4.1850e-06
8.7120e+02,4.1880e-06
8.7140e+02,4.1860e-06
8.7160e+02,4.1960e-06
8.7180e+02,4.2070e-06
8.7200e+02,4.1910e-06
8.7220e+02,4.2140e-06
8.7240e+02,4.2230e-06
8.7260e+02,4.2100e-06
8.7280e+02,4.2040e-06
8.7300e+02,4.1990e-06
8.7320e+02,4.2170e-06
8.7340e+02,4.2290e-06
8.7360e+02,4.2190e-06
8.7380e+02,4.2050e-06
8.7400e+02,4.2230e-06
8.7420e+02,4.2460e-06
8.7440e+02,4.2370e-06
8.7460e+02,4.2140e-06
8.7480e+02,4.2090e-06
8.7500e+02,4.2080e-06
8.7520e+02,4.2370e-06
8.7540e+02,4.2410e-06
8.7560e+02,4.2490e-06
8.7580e+02,4.2620e-06
8.7600e+02,4.2620e-06
8.7620e+02,4.2430e-06
8.7640e+02,4.2400e-06
8.7660e+02,4.2350e-06
8.7680e+02,4.2270e-06
8.7700e+02,4.2320e-06
8.7720e+02,4.2480e-06
8.7740e+02,4.2580e-06
8.7760e+02,4.2580e-06
8.7780e+02,4.2610e-06
8.7800e+02,4.2500e-06
8.7820e+02,4.2510e-06
8.7840e+02,4.2640e-06
8.7860e+02,4.2730e-06
8.7880e+02,4.2930e-06
8.7900e+02,4.2960e-06
8.7920e+02,4.3000e-06
8.7940e+02,4.3010e-06
8.7960e+02,4.2880e-06
8.7980e+02,4.2960e-06
8.8000e+02,4.2940e-06
8.8020e+02,4.2930e-06
8.8040e+02,4.2740e-06
8.8060e+02,4.2550e-06
8.8080e+02,4.2630e-06
8.8100e+02,4.2610e-06
8.8120e+02,4.2640e-06
8.8140e+02,4.2670e-06
8.8160e+02,4.2640e-06
8.8180e+02,4.2730e-06
8.8200e+02,4.2790e-06
8.8220e+02,4.2940e-06
8.8240e+02,4.3010e-06
8.8260e+02,4.3060e-06
8.8280e+02,4.2940e-06
