sigma_a_Yb:CaF2_x	sigma_a_Yb:CaF2_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.00000e+02	1.38981e-23	8.00000e+02	1.84080e-23	8.00000e+02	3.14191e-28	8.00000e+02	3.14191e-28	8.00000e+02	1.38981e-23
8.00350e+02	9.16316e-24	8.00350e+02	1.93139e-23	8.00350e+02	2.12653e-28	8.00350e+02	2.12653e-28	8.00350e+02	9.16316e-24
8.00700e+02	7.13381e-24	8.00700e+02	1.93979e-23	8.00700e+02	1.69952e-28	8.00700e+02	1.69952e-28	8.00700e+02	7.13381e-24
8.01050e+02	7.04726e-24	8.01050e+02	1.90031e-23	8.01050e+02	1.72342e-28	8.01050e+02	1.72342e-28	8.01050e+02	7.04726e-24
8.01400e+02	8.14077e-24	8.01400e+02	1.87686e-23	8.01400e+02	2.04359e-28	8.01400e+02	2.04359e-28	8.01400e+02	8.14077e-24
8.01750e+02	9.99284e-24	8.01750e+02	1.92746e-23	8.01750e+02	2.57493e-28	8.01750e+02	2.57493e-28	8.01750e+02	9.99284e-24
8.02100e+02	9.40348e-24	8.02100e+02	2.05226e-23	8.02100e+02	2.48715e-28	8.02100e+02	2.48715e-28	8.02100e+02	9.40348e-24
8.02450e+02	7.80594e-24	8.02450e+02	2.17948e-23	8.02450e+02	2.11917e-28	8.02450e+02	2.11917e-28	8.02450e+02	7.80594e-24
8.02800e+02	8.37202e-24	8.02800e+02	2.22415e-23	8.02800e+02	2.33286e-28	8.02800e+02	2.33286e-28	8.02800e+02	8.37202e-24
8.03150e+02	7.37351e-24	8.03150e+02	2.17199e-23	8.03150e+02	2.10882e-28	8.03150e+02	2.10882e-28	8.03150e+02	7.37351e-24
8.03500e+02	7.79123e-24	8.03500e+02	2.09650e-23	8.03500e+02	2.28702e-28	8.03500e+02	2.28702e-28	8.03500e+02	7.79123e-24
8.03850e+02	6.43663e-24	8.03850e+02	2.08361e-23	8.03850e+02	1.93915e-28	8.03850e+02	1.93915e-28	8.03850e+02	6.43663e-24
8.04200e+02	6.49269e-24	8.04200e+02	2.14591e-23	8.04200e+02	2.00750e-28	8.04200e+02	2.00750e-28	8.04200e+02	6.49269e-24
8.04550e+02	7.70414e-24	8.04550e+02	2.22205e-23	8.04550e+02	2.44468e-28	8.04550e+02	2.44468e-28	8.04550e+02	7.70414e-24
8.04900e+02	7.45559e-24	8.04900e+02	2.25433e-23	8.04900e+02	2.42795e-28	8.04900e+02	2.42795e-28	8.04900e+02	7.45559e-24
8.05250e+02	6.38879e-24	8.05250e+02	2.24601e-23	8.05250e+02	2.13513e-28	8.05250e+02	2.13513e-28	8.05250e+02	6.38879e-24
8.05600e+02	5.63652e-24	8.05600e+02	2.23467e-23	8.05600e+02	1.93311e-28	8.05600e+02	1.93311e-28	8.05600e+02	5.63652e-24
8.05950e+02	7.86615e-24	8.05950e+02	2.22967e-23	8.05950e+02	2.76845e-28	8.05950e+02	2.76845e-28	8.05950e+02	7.86615e-24
8.06300e+02	9.83853e-24	8.06300e+02	2.20216e-23	8.06300e+02	3.55323e-28	8.06300e+02	3.55323e-28	8.06300e+02	9.83853e-24
8.06650e+02	1.05737e-23	8.06650e+02	2.13745e-23	8.06650e+02	3.91859e-28	8.06650e+02	3.91859e-28	8.06650e+02	1.05737e-23
8.07000e+02	1.13155e-23	8.07000e+02	2.07265e-23	8.07000e+02	4.30304e-28	8.07000e+02	4.30304e-28	8.07000e+02	1.13155e-23
8.07350e+02	1.11687e-23	8.07350e+02	2.06463e-23	8.07350e+02	4.35811e-28	8.07350e+02	4.35811e-28	8.07350e+02	1.11687e-23
8.07700e+02	1.04841e-23	8.07700e+02	2.12826e-23	8.07700e+02	4.19764e-28	8.07700e+02	4.19764e-28	8.07700e+02	1.04841e-23
8.08050e+02	9.23071e-24	8.08050e+02	2.22153e-23	8.08050e+02	3.79211e-28	8.08050e+02	3.79211e-28	8.08050e+02	9.23071e-24
8.08400e+02	7.10813e-24	8.08400e+02	2.28903e-23	8.08400e+02	2.99614e-28	8.08400e+02	2.99614e-28	8.08400e+02	7.10813e-24
8.08750e+02	5.04569e-24	8.08750e+02	2.30588e-23	8.08750e+02	2.18212e-28	8.08750e+02	2.18212e-28	8.08750e+02	5.04569e-24
