sigma_a_Yb:FP15_x	sigma_a_Yb:FP15_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.00000e+02	8.17386e-25	8.00000e+02	3.02708e-23	8.00000e+02	1.76234e-29	8.00000e+02	1.76234e-29	8.00000e+02	8.17386e-25
8.00350e+02	2.93790e-24	8.00350e+02	3.51458e-23	8.00350e+02	6.50546e-29	8.00350e+02	6.50546e-29	8.00350e+02	2.93790e-24
8.00700e+02	3.75007e-24	8.00700e+02	3.61912e-23	8.00700e+02	8.52806e-29	8.00700e+02	8.52806e-29	8.00700e+02	3.75007e-24
8.01050e+02	3.61183e-24	8.01050e+02	3.43831e-23	8.01050e+02	8.43527e-29	8.01050e+02	8.43527e-29	8.01050e+02	3.61183e-24
8.01400e+02	2.88115e-24	8.01400e+02	3.29899e-23	8.01400e+02	6.91013e-29	8.01400e+02	6.91013e-29	8.01400e+02	2.88115e-24
8.01750e+02	1.55354e-24	8.01750e+02	3.40216e-23	8.01750e+02	3.82633e-29	8.01750e+02	3.82633e-29	8.01750e+02	1.55354e-24
8.02100e+02	1.40037e-24	8.02100e+02	3.63993e-23	8.02100e+02	3.54186e-29	8.02100e+02	3.54186e-29	8.02100e+02	1.40037e-24
8.02450e+02	1.60937e-24	8.02450e+02	3.76532e-23	8.02450e+02	4.17990e-29	8.02450e+02	4.17990e-29	8.02450e+02	1.60937e-24
8.02800e+02	2.28661e-24	8.02800e+02	3.68534e-23	8.02800e+02	6.09833e-29	8.02800e+02	6.09833e-29	8.02800e+02	2.28661e-24
8.03150e+02	2.91167e-24	8.03150e+02	3.53619e-23	8.03150e+02	7.97372e-29	8.03150e+02	7.97372e-29	8.03150e+02	2.91167e-24
8.03500e+02	2.47076e-24	8.03500e+02	3.49053e-23	8.03500e+02	6.94766e-29	8.03500e+02	6.94766e-29	8.03500e+02	2.47076e-24
8.03850e+02	2.31645e-24	8.03850e+02	3.55997e-23	8.03850e+02	6.68821e-29	8.03850e+02	6.68821e-29	8.03850e+02	2.31645e-24
8.04200e+02	2.81860e-24	8.04200e+02	3.62146e-23	8.04200e+02	8.35583e-29	8.04200e+02	8.35583e-29	8.04200e+02	2.81860e-24
8.04550e+02	3.64293e-24	8.04550e+02	3.59647e-23	8.04550e+02	1.10883e-28	8.04550e+02	1.10883e-28	8.04550e+02	3.64293e-24
8.04900e+02	3.24893e-24	8.04900e+02	3.54172e-23	8.04900e+02	1.01533e-28	8.04900e+02	1.01533e-28	8.04900e+02	3.24893e-24
8.05250e+02	4.52414e-24	8.05250e+02	3.55642e-23	8.05250e+02	1.45158e-28	8.05250e+02	1.45158e-28	8.05250e+02	4.52414e-24
8.05600e+02	5.45725e-24	8.05600e+02	3.65148e-23	8.05600e+02	1.79766e-28	8.05600e+02	1.79766e-28	8.05600e+02	5.45725e-24
8.05950e+02	5.21766e-24	8.05950e+02	3.74936e-23	8.05950e+02	1.76453e-28	8.05950e+02	1.76453e-28	8.05950e+02	5.21766e-24
8.06300e+02	4.82745e-24	8.06300e+02	3.79141e-23	8.06300e+02	1.67603e-28	8.06300e+02	1.67603e-28	8.06300e+02	4.82745e-24
8.06650e+02	3.47037e-24	8.06650e+02	3.79700e-23	8.06650e+02	1.23691e-28	8.06650e+02	1.23691e-28	8.06650e+02	3.47037e-24
8.07000e+02	2.67070e-24	8.07000e+02	3.80761e-23	8.07000e+02	9.77189e-29	8.07000e+02	9.77189e-29	8.07000e+02	2.67070e-24
8.07350e+02	2.16066e-24	8.07350e+02	3.81349e-23	8.07350e+02	8.11557e-29	8.07350e+02	8.11557e-29	8.07350e+02	2.16066e-24
8.07700e+02	1.60633e-24	8.07700e+02	3.77133e-23	8.07700e+02	6.19353e-29	8.07700e+02	6.19353e-29	8.07700e+02	1.60633e-24
8.08050e+02	1.04728e-24	8.08050e+02	3.68117e-23	8.08050e+02	4.14502e-29	8.08050e+02	4.14502e-29	8.08050e+02	1.04728e-24
8.08400e+02	2.66651e-24	8.08400e+02	3.60575e-23	8.08400e+02	1.08332e-28	8.08400e+02	1.08332e-28	8.08400e+02	2.66651e-24
8.08750e+02	3.59201e-24	8.08750e+02	3.60099e-23	8.08750e+02	1.49794e-28	8.08750e+02	1.49794e-28	8.08750e+02	3.59201e-24
8.09100e+02	4.00664e-24	8.09100e+02	3.65226e-23	8.09100e+02	1.71501e-28	8.09100e+02	1.71501e-28	8.09100e+02	4.00664e-24
8.09450e+02	4.29663e-24	8.09450e+02	3.69971e-23	8.09450e+02	1.88771e-28	8.09450e+02	1.88771e-28	8.09450e+02	4.29663e-24
8.09800e+02	4.71655e-24	8.09800e+02	3.71107e-23	8.09800e+02	2.12688e-28	8.09800e+02	2.12688e-28	8.09800e+02	4.71655e-24
8.10150e+02	4.99188e-24	8.10150e+02	3.70160e-23	8.10150e+02	2.31038e-28	8.10150e+02	2.31038e-28	8.10150e+02	4.99188e-24
8.10500e+02	4.50066e-24	8.10500e+02	3.68678e-23	8.10500e+02	2.13790e-28	8.10500e+02	2.13790e-28	8.10500e+02	4.50066e-24
8.10850e+02	3.18421e-24	8.10850e+02	3.65232e-23	8.10850e+02	1.55237e-28	8.10850e+02	1.55237e-28	8.10850e+02	3.18421e-24
8.11200e+02	2.84759e-24	8.11200e+02	3.59374e-23	8.11200e+02	1.42476e-28	8.11200e+02	1.42476e-28	8.11200e+02	2.84759e-24
8.11550e+02	3.17439e-24	8.11550e+02	3.56243e-23	8.11550e+02	1.63001e-28	8.11550e+02	1.63001e-28	8.11550e+02	3.17439e-24
8.11900e+02	3.28437e-24	8.11900e+02	3.63072e-23	8.11900e+02	1.73075e-28	8.11900e+02	1.73075e-28	8.11900e+02	3.28437e-24
8.12250e+02	4.43562e-24	8.12250e+02	3.80059e-23	8.12250e+02	2.39871e-28	8.12250e+02	2.39871e-28	8.12250e+02	4.43562e-24
8.12600e+02	7.48389e-24	8.12600e+02	3.97455e-23	8.12600e+02	4.15322e-28	8.12600e+02	4.15322e-28	8.12600e+02	7.48389e-24
